Base,Tail Number,Min Quantity,Max Quantity,JETA Fuel Cost,Into Plane,Discount,County Fee,Federal Excise Tax JetA,FET Addon,Flow Fee,Jet Concession Fee,Jet Conc/AR FF Fee,M & O Fee,Misc,PAFCO Fuel Surcharge,PAFCO Truck Fee,Pipeline Fee,PPD Billed Freight,PPD Freight Surcharge,State and Local Taxes,State Clean Fee,STATE ENVIRON/OIL SPILL,State Fuel Tax,State Inspection Fee,State Oil Transfer/UST,Freight,US Federal Oil Spill,Sub Total ($),Tax Rate (%),Tax Amount ($),Total
MKC,,1201,999999,4.3167,1.4510,0.0000,,0.2180,0.0250,,0.0800,,,,0.0084,0.0200,0.0000,0.0000,,,,,,0.0010,0.0030,0.0010,0.0021,6.1262,6.2250,0.3808,6.5070
MKE,,1,300,3.6161,1.6400,0.0000,,0.2180,0.0250,,0.0700,,,0.2242,0.0000,0.0000,0.0166,0.0000,,0.0600,,,,0.0200,,0.0010,0.0021,5.8930,0.0000,0.0000,5.8930
MKE,,301,1200,3.6161,1.3800,0.0000,,0.2180,0.0250,,0.0700,,,0.2242,0.0000,0.0000,0.0166,0.0000,,0.0600,,,,0.0200,,0.0010,0.0021,5.6330,0.0000,0.0000,5.6330
MKE,,1201,999999,3.6161,1.2600,0.0000,,0.2180,0.0250,,0.0700,,,0.2242,0.0000,0.0000,0.0166,0.0000,,0.0600,,,,0.0200,,0.0010,0.0021,5.5130,0.0000,0.0000,5.5130
MMU,,1,500,4.1509,1.9110,0.0000,,0.2180,0.0250,,0.3450,0.1250,,0.0200,,,,,,,,,0.0400,,,0.0010,0.0021,6.8380,0.0000,0.0000,6.8380
MMU,,501,1200,4.1509,1.7100,0.0000,,0.2180,0.0250,,0.3450,0.1250,,0.0200,,,,,,,,,0.0400,,,0.0010,0.0021,6.6370,0.0000,0.0000,6.6370
MMU,,1201,999999,4.1509,1.3400,0.0000,,0.2180,0.0250,,0.3450,0.1250,,0.0200,,,,,,,,,0.0400,,,0.0010,0.0021,6.2670,0.0000,0.0000,6.2670
MOB,,1,300,3.7040,3.6600,0.0000,,0.2180,0.0250,,0.0800,,,,0.0158,0.0264,0.0000,0.0000,,,,,0.0350,,0.0120,0.0010,0.0021,7.7793,10.0000,0.0000,7.7793
MOB,,301,1200,3.7040,3.5700,0.0000,,0.2180,0.0250,,0.0800,,,,0.0158,0.0264,0.0000,0.0000,,,,,0.0350,,0.0120,0.0010,0.0021,7.6893,10.0000,0.0000,7.6893
MOB,,1201,999999,3.7040,3.5100,0.0000,,0.2180,0.0250,,0.0800,,,,0.0158,0.0264,0.0000,0.0000,,,,,0.0350,,0.0120,0.0010,0.0021,7.6293,10.0000,0.0000,7.6293
MQS,,1,300,4.3802,3.5300,0.0000,,0.2180,0.0250,,0.0650,,,,0.0208,0.0495,0.0000,0.0125,,,,,0.0200,,,0.0010,0.0021,8.3241,6.0000,0.0000,8.3241
MQS,,301,1200,4.3802,3.2700,0.0000,,0.2180,0.0250,,0.0650,,,,0.0208,0.0495,0.0000,0.0125,,,,,0.0200,,,0.0010,0.0021,8.0641,6.0000,0.0000,8.0641
MQS,,1201,999999,4.3802,2.4500,0.0000,,0.2180,0.0250,,0.0650,,,,0.0208,0.0495,0.0000,0.0125,,,,,0.0200,,,0.0010,0.0021,7.2441,6.0000,0.0000,7.2441
MSP,,1,500,3.6217,4.9290,0.0000,,0.2180,0.0000,0.0210,0.1270,,0.0030,0.0070,0.0000,0.0000,0.0000,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,9.0808,7.5250,0.0000,9.0808
MSP,,501,1200,3.6217,4.8300,0.0000,,0.2180,0.0000,0.0210,0.1270,,0.0030,0.0070,0.0000,0.0000,0.0000,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,8.9818,7.5250,0.0000,8.9818
MSP,,1201,999999,3.6217,4.7320,0.0000,,0.2180,0.0000,0.0210,0.1270,,0.0030,0.0070,0.0000,0.0000,0.0000,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,8.8838,7.5250,0.0000,8.8838
MSY,,1,300,3.6227,2.0660,0.0000,,0.2180,0.0250,,0.1000,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,,,0.0010,,0.0010,0.0021,6.0986,4.4500,0.2708,6.3694
MSY,,301,1200,3.6227,2.0100,0.0000,,0.2180,0.0250,,0.1000,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,,,0.0010,,0.0010,0.0021,6.0426,4.4500,0.2683,6.3109
MSY,,1201,999999,3.6227,1.7600,0.0000,,0.2180,0.0250,,0.1000,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,,,0.0010,,0.0010,0.0021,5.7926,4.4500,0.2572,6.0498
NEW,,1,300,3.6837,1.3830,0.0000,,0.2180,0.0250,,0.2500,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,0.0010,,,,0.0010,0.0021,5.6266,4.4500,0.2498,5.8764
NEW,,301,1200,3.6837,1.3550,0.0000,,0.2180,0.0250,,0.2500,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,0.0010,,,,0.0010,0.0021,5.5986,4.4500,0.2485,5.8471
NEW,,1201,999999,3.6837,1.1500,0.0000,,0.2180,0.0250,,0.2500,,,0.0080,0.0138,0.0328,0.0082,0.0000,,,,0.0010,,,,0.0010,0.0021,5.3936,4.4500,0.2394,5.6330
OAK,,1,300,3.6560,0.9390,0.0000,,0.2180,0.0250,,0.2100,,,,0.0167,0.0398,0.0067,0.0000,,,,,0.0200,,,0.0010,0.0021,5.1343,10.2500,0.5263,5.6606
OAK,,301,1200,3.6560,0.9200,0.0000,,0.2180,0.0250,,0.2100,,,,0.0167,0.0398,0.0067,0.0000,,,,,0.0200,,,0.0010,0.0021,5.1153,10.2500,0.5243,5.6396
